OscP5 0.9.9 infos, comments, questions at http://www.sojamo.de/oscP5

### [2018/4/13 13:54:11] PROCESS @ OscP5 stopped.
### [2018/4/13 13:54:11] PROCESS @ UdpClient.openSocket udp socket initialized.
### [2018/4/13 13:54:12] PROCESS @ UdpServer.start() new Unicast DatagramSocket created @ port 5002
### [2018/4/13 13:54:12] PROCESS @ UdpServer.run() UdpServer is running @ 5002
### [2018/4/13 13:54:12] INFO @ OscP5 is running. you (128.206.21.52) are listening @ port 5002
TimeStamp, Alpha, Beta, Delta, Gamma, Theta

2018-04-13 13:54:15.103,=(0.4384034738835625+ 0.1871656883400235+-0.07937220020697466+0.17707664047575436)/4,=(0.6635679139233913+ 0.2822841199244015+1.0157643713648612+0.7037317767740455)/4,=(0.3788734657170379+ 0.28437895709701966+0.6518258881490668+0.39016536359660486)/4,=(-0.07968806851632837+ -0.13224789938030038+-0.005054481870025831+0.02764427794051031)/4,=(0.37416993149333594+ 0.06085898386364011+0.34772235066434837+0.2868814874637888)/4,
2018-04-13 13:54:15.184,=(0.4384034738835625+ 0.1871656883400235+-0.013460728003007422+0.17707664047575436)/4,=(0.6635679139233913+ 0.3154419734605322+0.9963979778925018+0.7037317767740455)/4,=(0.3788734657170379+ 0.2427334712253321+0.6517501529150675+0.39016536359660486)/4,=(-0.07968806851632837+ -0.1519415489775864+-0.07235931729472374+0.02764427794051031)/4,=(0.37416993149333594+ 0.05017101029347952+0.3351635998661973+0.2868814874637888)/4,
2018-04-13 13:54:15.296,=(0.4384034738835625+ 0.1871656883400235+0.027683135603553535+0.17707664047575436)/4,=(0.6635679139233913+ 0.34123555955866275+0.96176201742164+0.7037317767740455)/4,=(0.3788734657170379+ 0.19295271090611832+0.6343750027727915+0.39016536359660486)/4,=(-0.07968806851632837+ -0.1417106830665294+-0.13775501364530932+0.02764427794051031)/4,=(0.37416993149333594+ 0.04565857593804679+0.3442358111398826+0.2868814874637888)/4,
2018-04-13 13:54:15.548,=(0.4384034738835625+ 0.1871656883400235+0.03742079431355116+0.17707664047575436)/4,=(0.6635679139233913+ 0.3595949133695355+0.9191211787696965+0.7037317767740455)/4,=(0.3788734657170379+ 0.16373793926646402+0.6233718655991524+0.39016536359660486)/4,=(-0.07968806851632837+ -0.11325158149514522+-0.1971036763235928+0.02764427794051031)/4,=(0.37416993149333594+ 0.047950294390218764+0.3645705746893787+0.2868814874637888)/4,
2018-04-13 13:54:16.339,=(0.4384034738835625+ 0.1871656883400235+0.0602092576247238+0.17707664047575436)/4,=(0.6635679139233913+ 0.37391353108238695+0.8814610998992856+0.7037317767740455)/4,=(0.3788734657170379+ 0.1657171132016806+0.6197600119612425+0.39016536359660486)/4,=(-0.07968806851632837+ -0.08449478599529417+-0.2469473269819332+0.02764427794051031)/4,=(0.37416993149333594+ 0.05481942058857052+0.3860670896716825+0.2868814874637888)/4,
2018-04-13 13:54:16.431,=(0.4384034738835625+ 0.1871656883400235+0.0602092576247238+0.17707664047575436)/4,=(0.6635679139233913+ 0.38606475718776156+0.8814610998992856+0.7037317767740455)/4,=(0.3788734657170379+ 0.1824244165219306+0.6197600119612425+0.39016536359660486)/4,=(-0.07968806851632837+ -0.04740998578770846+-0.2469473269819332+0.02764427794051031)/4,=(0.37416993149333594+ 0.06431344684739079+0.3860670896716825+0.2868814874637888)/4,
2018-04-13 13:54:16.454,=(0.4384034738835625+ 0.1871656883400235+0.0602092576247238+0.17707664047575436)/4,=(0.6635679139233913+ 0.38606475718776156+0.8814610998992856+0.7037317767740455)/4,=(0.3788734657170379+ 0.1824244165219306+0.6197600119612425+0.39016536359660486)/4,=(-0.07968806851632837+ -0.04740998578770846+-0.2469473269819332+0.02764427794051031)/4,=(0.37416993149333594+ 0.06431344684739079+0.3860670896716825+0.2868814874637888)/4,
2018-04-13 13:54:16.475,=(0.4384034738835625+ 0.1871656883400235+0.0602092576247238+0.17707664047575436)/4,=(0.6635679139233913+ 0.38606475718776156+0.8814610998992856+0.7037317767740455)/4,=(0.3788734657170379+ 0.1824244165219306+0.6197600119612425+0.39016536359660486)/4,=(-0.07968806851632837+ -0.04740998578770846+-0.2469473269819332+0.02764427794051031)/4,=(0.37416993149333594+ 0.06431344684739079+0.3860670896716825+0.2868814874637888)/4,
2018-04-13 13:54:16.493,=(0.4384034738835625+ 0.1871656883400235+0.0602092576247238+0.17707664047575436)/4,=(0.6635679139233913+ 0.38606475718776156+0.8814610998992856+0.7037317767740455)/4,=(0.3788734657170379+ 0.1824244165219306+0.6197600119612425+0.39016536359660486)/4,=(-0.07968806851632837+ -0.04740998578770846+-0.2469473269819332+0.02764427794051031)/4,=(0.37416993149333594+ 0.06431344684739079+0.3860670896716825+0.2868814874637888)/4,
2018-04-13 13:54:16.508,=(0.4384034738835625+ 0.1871656883400235+0.0602092576247238+0.17707664047575436)/4,=(0.6635679139233913+ 0.38606475718776156+0.8814610998992856+0.7037317767740455)/4,=(0.3788734657170379+ 0.1824244165219306+0.6197600119612425+0.39016536359660486)/4,=(-0.07968806851632837+ -0.04740998578770846+-0.2469473269819332+0.02764427794051031)/4,=(0.37416993149333594+ 0.06431344684739079+0.3860670896716825+0.2868814874637888)/4,
2018-04-13 13:54:16.528,=(0.4384034738835625+ 0.1871656883400235+0.0602092576247238+0.17707664047575436)/4,=(0.6635679139233913+ 0.38606475718776156+0.8814610998992856+0.7037317767740455)/4,=(0.3788734657170379+ 0.1824244165219306+0.6197600119612425+0.39016536359660486)/4,=(-0.07968806851632837+ -0.04740998578770846+-0.2469473269819332+0.02764427794051031)/4,=(0.37416993149333594+ 0.06431344684739079+0.3860670896716825+0.2868814874637888)/4,
2018-04-13 13:54:16.545,=(0.4384034738835625+ 0.13495022617700966+0.0602092576247238+0.17707664047575436)/4,=(0.6635679139233913+ 0.4042282063075041+0.8814610998992856+0.7037317767740455)/4,=(0.3788734657170379+ 0.18948078557244863+0.6197600119612425+0.39016536359660486)/4,=(-0.07968806851632837+ -0.061468279846986204+-0.2469473269819332+0.02764427794051031)/4,=(0.37416993149333594+ 0.06639182372021094+0.3860670896716825+0.2868814874637888)/4,
2018-04-13 13:54:16.562,=(0.4384034738835625+ -0.02798121574217272+0.028172708041799735+0.17707664047575436)/4,=(0.6635679139233913+ 0.42302092842887024+0.8620413014651194+0.7037317767740455)/4,=(0.3788734657170379+ 0.1742707081089896+0.6402243317485669+0.39016536359660486)/4,=(-0.07968806851632837+ -0.07198859611362354+-0.3758070720462403+0.02764427794051031)/4,=(0.37416993149333594+ 0.06446608684823817+0.3672664910344974+0.2868814874637888)/4,
2018-04-13 13:54:16.578,=(0.4384034738835625+ -0.2346016570579982+-0.04103353873029739+0.17707664047575436)/4,=(0.6635679139233913+ 0.44167571796436284+0.8267106499707589+0.7037317767740455)/4,=(0.3788734657170379+ 0.1286007359229182+0.6351546800175866+0.39016536359660486)/4,=(-0.07968806851632837+ -0.060235205307097375+-0.5237990535799626+0.02764427794051031)/4,=(0.37416993149333594+ 0.06054022629962525+0.3677726603030007+0.2868814874637888)/4,
2018-04-13 13:54:16.597,=(0.4384034738835625+ -0.3072688565078403+-0.10833941625576089+0.17707664047575436)/4,=(0.6635679139233913+ 0.4583276708170008+0.7702953807516518+0.7037317767740455)/4,=(0.3788734657170379+ 0.07744684624004987+0.6132554463047175+0.39016536359660486)/4,=(-0.07968806851632837+ -0.02478031324908899+-0.6809029848412286+0.02764427794051031)/4,=(0.37416993149333594+ 0.060012776947349716+0.3876552469279001+0.2868814874637888)/4,
2018-04-13 13:54:16.611,=(0.4384034738835625+ -0.3237961843292908+-0.13985293825543774+0.17707664047575436)/4,=(0.6635679139233913+ 0.4697667670004289+0.6860123217255855+0.7037317767740455)/4,=(0.3788734657170379+ 0.04894569805022154+0.5851364730172868+0.39016536359660486)/4,=(-0.07968806851632837+ 0.0235326421356033+-0.8410743496810876+0.02764427794051031)/4,=(0.37416993149333594+ 0.06774064905399026+0.42129925249539546+0.2868814874637888)/4,
